Message ID ,Tag_RR,Tag_WG
MO1,sy,sy
1_1,Aa,aa
2_1,Aa,aa
3_1,Aa,aa
5_1,Aa,aa
MO2,sy,sy
4_1,Aa,aa
MO3,sy,sy
5_2,Aa,aa
2_2,Aa,aa
5_3,Ad,aa
4_2,Aa,aa
1_2,Aa,aa
5_4,Qu,qu
1_3,Aa,aa
5_5,Re,aa
4_3,Qu,qu
2_3,Ta,aa/ ta
5_6,Aa,ic
1_4,Sd,sd
3_2,Re/ Ic,ct/ re
1_5,Aa/ Nv,aa
MO4,sy,sy
2_4,Qu,ct/ qu
5_7,Aa,aa
1_6,Qu,qu
4_4,Ct,ct
5_8,Ac,ac
1_7,Nv,aa
5_9,Qu,qu/ ct/ ic
1_8,Aa,aa
5_10,Nv/ Aa,aa
1_9,Aa/Qu,qu
4_5,Qu,qu
5_11,Qu,qu
3_3,Aa,aa
5_12,Re,aa
2_5,Ac,ad/ ac
1_10,Qu,qu/ rj
2_6,Re/Ac,aa
1_11,Nv,aa
4_6,Aa,co/ aa
2_7,Re,ag/
1_12,Aa,rj
2_8,Aa,aa
5_13,Ad,ct
MO5,sy,sy
3_4,Qu,qu
1_13,Ct/ Qu,qu
4_7,Ac,ac
2_9,Sd,sd/ ac
5_14,Aa,ic/ ct
2_10,Aa,aa
5_15,Nv,aa
1_14,Sd,sd
5_16,Qu/ Ic,sd
3_5,Qu,qu
1_15,Cd,ac
3_6,Qu,qu
2_11,Ic,ac
4_8,Sd/Re,ac/ ad
5_17,Aa,aa
2_12,Ic / Ac,ac
3_7,Qu,qu
5_18,Sd,sd
2_13,Ic/ Qu,qu
3_8,Qu,qu
1_16,Aa/ Re,ac/ re/ qu
4_9,Aa,aa
MO6,sy,sy
5_19,Ag,ag
4_10,Re/ac,ac
3_9,Rj/Ac,ac
5_20,Ac,ac
3_10,Ad,ac
5_21,Cs,ac
3_11,Qu,qu
2_14,Aa/Re,ac
3_12,Aa,co
1_17,Qu,qu
3_13,Rj,aa
4_11,Rj/Ac,ac
1_18,Qu,qu
3_14,Rj/ Qu,qu
2_15,Ag,ag
5_22,Sd/ Ac,ac
3_15,Aa/ AC,ac
4_12,Sd,sd
MO7,sy,sy
4_13,Sd,sd
MO8,sy,sy
5_23,Re,ag
4_14,Sd,rj
3_16,Aa,aa/ac
