Message ID ,Tag_RR,Tag_WG
MO1,Sy,SY
4_1,Aa,aa
3_1,Aa,aa
5_1,Aa,aa
1_1,Aa,aa
MO2,Sy,sy
2_1,Aa,aa
MO3,Sy,sy
1_2,Co,aa
2_2,Aa,aa
5_2,Aa,aa
3_2,Aa,aa
4_2,Aa,aa
3_3,Aa,aa
1_3,Sd/Aa,cs
4_3,Co/Aa,rj
5_3,Qu,qu
2_3,Aa,qu/ ct
3_4,Aa,aa
1_4,Aa,aa
2_4,Aa,aa
1_5,Aa,sd
2_5,Co,ct/ aa
5_4,Qu,qu
2_6,Ac,ac/sd
3_5,Sd/ Qu/ Ic,ac/sd/ct
MO4,Sy,sy
1_6,Qu,qu
3_6,Ic,ct/ ic
2_7,Ic,aa
1_7,Aa,ac
2_8,Nv,aa
3_7,Nv,aa
2_9,Ad,qu
4_4,Cd,sd/ag
1_8,Nv,aa
5_6,Ag,rj
1_9,Sd,ac
3_8,Aa,aa
2_10,Ad,ad
4_5,Rj/Sd,aa/ rj
2_11,sd,cs
1_10,Aa,rj
MO5,Sy,sy
2_12,Nv,aa
MO6,Sy,sy
5_7,Aa,aa
,,
