Message ID ,Tag_RR,Tag_WG
MO1,Sy,sy
1_1,Aa,aa
3_1,Aa,aa
2_1,Aa,aa
5_1,Aa,aa
4_1,Aa,aa
MO2,sy,sy
5_2,Aa,aa
2_2,Aa,aa
4_2,Co,aa/ co 
3_2,Aa,re/ aa
5_3,Ad/Sd,sd/ rj
3_3,Rj/Qu,ag/ qu 
5_4,Sd,cs
MO3,sy,sy
3_4,Aa,aa
2_3,Aa,ac
5_5,Cs,ta
4_3,Ad,ct
1_2,Ic,ct
3_5,Rj,rj/ ag
5_6,Aa,aa
4_4,Ag,rj/ ag
2_4,Aa,re
3_6,Ac,ac
5_7,Qu,qu
2_5,Qu,qu/ re
5_8,Ac,ac
1_3,qu,qu/ re
3_7,Sd,sd
5_9,Cs,s
3_8,Ac,ac/ cd
4_5,Aa/Ac,aa/ re
2_6,Aa/Ac,aa/ re
3_9,Rj,rj/ ag
5_10,Cs,ac/ cs
MO4,Sy,sy
3_10,Re,ag
3_11,Re,ag/ re
MO5,Sy,sy
2_7,Ag,ag
5_11,Ag,aa
1_4,Qu,qu
4_6,Ac,ac
2_8,Qu,qu/ re
5_12,Aa,aa
1_5,Cs,ac
5_13,Aa,aa
1_6,Qu,qu
4_7,Sd,aa/ sd
2_9,Re,ac
1_7,Sd,aa/ sd
5_14,Qu,qu
2_10,Ac,aa/
5_15,Qu,qu
2_11,Sd,sd
1_8,Ac,rj
2_12,Re,re
4_8,Qu,qu
MO6,sy,sy
5_16,Qu,qu
1_9,Cd,cd
2_13,Cs,rj
1_10,Ag,ic
2_14,Sd/ Qu,rj/ qu
1_11,Qu,qu
4_9,Re,ac
5_17,Ac,ac
4_10,Cs/ ,sd/ag/ rj
5_18,Rj,rj
2_15,Qu,qu
4_11,Sd/Rj,rj
2_16,Re,re/ qu
4_12,Qu,re/ qu
2_17,Re,ag
MO7,Sy,sy
2_18,Aa,aa
4_13,Aa,aa/ co 
MO8,Sy,sy
5_19,Ag,ag
